No.,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,"INGRESOS OPERACIONALES
2018*",GANANCIA (PERDIDA) 2018,TOTAL ACTIVOS 2018,TOTAL PASIVOS 2018,TOTAL PATRIMONIO 2018,"INGRESOS OPERACIONALES
2017*",GANANCIA (PERDIDA) 2017,TOTAL ACTIVOS 2017,TOTAL PASIVOS 2017,TOTAL PATRIMONIO 2017,GRUPO EN NIIF,∆ INGRESOS OPERACIONALES 2017-2018,∆ GANANCIA (PERDIDA) 2017-2018,∆ ACTIVOS 2017-2018,∆ TOTAL PASIVOS 2017-2018,∆ TOTAL PATRIMONIO 2017-2018
31,890333023,SIDERURGICA DEL OCCIDENTE SAS SIDOC SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,C2410 - Industrias básicas de hierro y de acero,MANUFACTURA,4855472300.0,287315800.0,3149127800.0,2162042710.0,987085090.0,3766142630.0,126778690.0,3033229170.0,2020713080.0,1012516090.0,NIIF PYMES-GRUPO 2,1089329670.0,160537110.0,115898630.0,141329630.0,-25431000.0
33,860001022,Casa Editorial El Tiempo S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,M7310 - Publicidad,SERVICIOS,3398355330.0,-310622330.0,5455207710.0,2562088390.0,2893119320.0,3691228330.0,-64124560.0,5411056810.0,2381848640.0,3029208170.0,NIIF PLENAS-GRUPO 1,-292873000.0,-246497770.0,44150900.0,180239750.0,-136088850.0
34,830012053,URBANIZADORA MARIN VALENCIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4111 - Construcción de edificios residenciales,CONSTRUCCIÓN,3757882230.0,110939010.0,10289406050.0,5583217710.0,4706188340.0,3292396150.0,402001330.0,10216028230.0,5555848680.0,4660179550.0,NIIF PLENAS-GRUPO 1,465486080.0,-291062320.0,73377820.0,27369030.0,46008790.0
36,800206842,BAKER HUGHES DE COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO-HIDROCARBUROS,5158458800.0,135243490.0,3366724410.0,1177679190.0,2189045220.0,3869333340.0,150124290.0,2741693350.0,838450260.0,1903243090.0,NIIF PLENAS-GRUPO 1,1289125460.0,-14880800.0,625031060.0,339228930.0,285802130.0
37,891300241,MANUELITA S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,C1071 - Elaboración y refinación de azúcar,MANUFACTURA,5812254070.0,258668820.0,12550922540.0,6301686090.0,6249236450.0,6593962470.0,283139840.0,11804178210.0,5430386610.0,6373791600.0,NIIF PLENAS-GRUPO 1,-781708400.0,-24471020.0,746744330.0,871299480.0,-124555150.0
39,800200336,MAKRO COMPUTO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",COMERCIO,1959995970.0,-227177970.0,929018320.0,976784580.0,-47766260.0,2466330150.0,5365950.0,1146134670.0,966715660.0,179419010.0,NIIF PLENAS-GRUPO 1,-506334180.0,-232543920.0,-217116350.0,10068920.0,-227185270.0
40,830050346,NESTLE PURINA PET CARE DE COLOMBIA  SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1090 - Elaboración de alimentos preparados para animales,MANUFACTURA,2443900000.0,145170000.0,2427960000.0,1978230000.0,449730000.0,2612650000.0,154550000.0,2130460000.0,1671360000.0,459100000.0,NIIF PLENAS-GRUPO 1,-168750000.0,-9380000.0,297500000.0,306870000.0,-9370000.0
45,860032463,PERENCO COLOMBIA LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,2607446410.0,154443110.0,4241990260.0,2825206920.0,1416783340.0,2115571810.0,-77428950.0,3967679710.0,2821792660.0,1145887050.0,NIIF PLENAS-GRUPO 1,491874600.0,231872060.0,274310550.0,3414260.0,270896290.0
46,890900085,LOCERIA COLOMBIANA S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,CALDAS-ANTIOQUIA,C2393 - Fabricación de otros productos de cerámica y porcelana,MANUFACTURA,1446330250.0,81642840.0,1362243710.0,707092240.0,655151470.0,1309956800.0,14492940.0,1238698480.0,656845840.0,581852640.0,NIIF PLENAS-GRUPO 1,136373450.0,67149900.0,123545230.0,50246400.0,73298830.0
47,900150942,AGROINDUSTRIAS DEL CAUCA SA,SUPERSOCIEDADES,Costa Pacífica,CAUCA,GUACHENE-CAUCA,C1071 - Elaboración y refinación de azúcar,MANUFACTURA,1488538400.0,92464510.0,3086749420.0,707780110.0,2378969310.0,1859870240.0,137271510.0,2752434860.0,450103770.0,2302331090.0,NIIF PLENAS-GRUPO 1,-371331840.0,-44807000.0,334314560.0,257676340.0,76638220.0
48,890204814,MANUFACTURAS Y PROCESOS INDUSTRIALES LTDA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,FLORIDABLANCA-SANTANDER,C1921 - Fabricación de productos de la refinación del petróleo,MANUFACTURA,1524904410.0,52479830.0,852975650.0,601928520.0,251047130.0,1242613110.0,13849600.0,857934550.0,595433380.0,262501170.0,NIIF PLENAS-GRUPO 1,282291300.0,38630230.0,-4958900.0,6495140.0,-11454040.0
49,860054249,REPRESENTACIONES CONTINENTAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,2160909030.0,121002420.0,2443208240.0,1763453020.0,679755220.0,2123339040.0,134794690.0,2474215530.0,1780668040.0,693547490.0,NIIF PLENAS-GRUPO 1,37569990.0,-13792270.0,-31007290.0,-17215020.0,-13792270.0
50,900681625,ENVASES DE TOCANCIPA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,C2229 - Fabricación de artículos de plástico n.c.p.,MANUFACTURA,1777890260.0,261989270.0,1489087630.0,566404130.0,922683500.0,1439840240.0,240639440.0,1210810950.0,550116720.0,660694230.0,NIIF PLENAS-GRUPO 1,338050020.0,21349830.0,278276680.0,16287410.0,261989270.0
51,890400869,SURTIDORA DE GAS DEL CARIBE S.A. E.S.P.,SUPERSERVICIOS,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,D3520 - Producción de gas; distribución de combustibles gaseosos por tuberías,SERVICIOS,8350030660.0,575591970.0,10592958660.0,5628398280.0,4964560380.0,8177456760.0,465870890.0,10298167390.0,5854265750.0,4443901640.0,NIIF PLENAS-GRUPO 1,172573900.0,109721080.0,294791270.0,-225867470.0,520658740.0
55,890917007,OPTIMA SAS VIVIENDA Y CONSTRUCCION,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,F4111 - Construcción de edificios residenciales,CONSTRUCCIÓN,1892909060.0,58036370.0,3212955420.0,2591019990.0,621935430.0,383988450.0,18040540.0,2676091100.0,2290429010.0,385662090.0,NIIF PLENAS-GRUPO 1,1508920610.0,39995830.0,536864320.0,300590980.0,236273340.0
57,890304099,HOTELES ESTELAR S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,I5511 - Alojamiento en hoteles,SERVICIOS,2781492780.0,196547900.0,6425227350.0,2974307800.0,3450919550.0,2696423110.0,175922340.0,6126572240.0,2882479980.0,3244092260.0,NIIF PLENAS-GRUPO 1,85069670.0,20625560.0,298655110.0,91827820.0,206827290.0
58,805028991,SURTIFAMILIAR S A,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,1554489250.0,19586910.0,386946180.0,259138200.0,127807980.0,1604733240.0,28303850.0,350003690.0,235752210.0,114251480.0,NIIF PYMES-GRUPO 2,-50243990.0,-8716940.0,36942490.0,23385990.0,13556500.0
59,830092963,Superpolo SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,C2920 - Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,MANUFACTURA,2246405420.0,143607470.0,2629067030.0,1582066100.0,1047000930.0,1941985510.0,157300230.0,2230035520.0,1252836610.0,977198910.0,NIIF PLENAS-GRUPO 1,304419910.0,-13692760.0,399031510.0,329229490.0,69802020.0
61,890924167,CI HERMECO SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"C1410 - Confección de prendas de vestir, excepto prendas de piel",MANUFACTURA,2320887010.0,17734230.0,1191721070.0,930297720.0,261423350.0,2358482350.0,11409300.0,1316271670.0,1061173250.0,255098420.0,NIIF PLENAS-GRUPO 1,-37595340.0,6324930.0,-124550600.0,-130875530.0,6324930.0
63,890903310,ANHIDRIDOS Y DERIVADOS DE COLOMBIA S.A.S. ANDERCOL,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,C2011 - Fabricación de sustancias y productos químicos básicos,MANUFACTURA,3126172780.0,337296950.0,3586871980.0,1480684780.0,2106187200.0,3203401140.0,161040490.0,3821249160.0,2056621290.0,1764627870.0,NIIF PLENAS-GRUPO 1,-77228360.0,176256460.0,-234377180.0,-575936510.0,341559330.0
64,811017000,INTERNACIONAL DE DISTRIBUCIONES DE VESTUARIO DE MODA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA-ANTIOQUIA,"C1410 - Confección de prendas de vestir, excepto prendas de piel",MANUFACTURA,6472497660.0,306946620.0,1914480040.0,1476580360.0,437899680.0,5558251650.0,312359480.0,2146763510.0,895810450.0,1250953060.0,NIIF PLENAS-GRUPO 1,914246010.0,-5412860.0,-232283470.0,580769910.0,-813053380.0
65,860001697,GASEOSAS LUX S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas",MANUFACTURA,7009978160.0,100875540.0,8974127540.0,6024141330.0,2949986210.0,6393329430.0,103020820.0,7966055930.0,4350522570.0,3615533360.0,NIIF PLENAS-GRUPO 1,616648730.0,-2145280.0,1008071610.0,1673618760.0,-665547150.0
66,860001584,MECANELECTRO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco",COMERCIO,1748846340.0,79595570.0,2044053880.0,901551950.0,1142501930.0,1651637120.0,49385380.0,1903767060.0,840860780.0,1062906280.0,NIIF PLENAS-GRUPO 1,97209220.0,30210190.0,140286820.0,60691170.0,79595650.0
69,830031757,DATA TOOLS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,M7020 - Actividades de consultaría de gestión,SERVICIOS,1478229460.0,101681460.0,903192880.0,442977830.0,460215050.0,1239101080.0,95686050.0,757156400.0,400687600.0,356468800.0,NIIF PYMES-GRUPO 2,239128380.0,5995410.0,146036480.0,42290230.0,103746250.0
70,900320612,SAP COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,J6209 - Otras actividades de tecnologías de información y actividades de servicios informáticos,SERVICIOS,5707646290.0,-838620850.0,6362938250.0,7200443150.0,-837504900.0,4815043800.0,-411816930.0,4784411160.0,4809945960.0,-25534800.0,NIIF PLENAS-GRUPO 1,892602490.0,-426803920.0,1578527090.0,2390497190.0,-811970100.0
71,860000898,SKN CARIBECAFE LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1061 - Trilla de café,MANUFACTURA,2931297670.0,-23493400.0,1631328550.0,1356443810.0,274884740.0,3737128320.0,-25035560.0,1558794560.0,1259604110.0,299190450.0,NIIF PLENAS-GRUPO 1,-805830650.0,1542160.0,72533990.0,96839700.0,-24305710.0
72,811027319,SOCIEDAD DE COMERCIALIZACION INTERNACIONAL BANAFRUT S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,COMERCIO,2155408410.0,-355740.0,840813960.0,775121150.0,65692810.0,2183409300.0,20788720.0,719179440.0,659336140.0,59843300.0,NIIF PLENAS-GRUPO 1,-28000890.0,-21144460.0,121634520.0,115785010.0,5849510.0
73,890907163,COMPAÑIA INDUSTRIAL DE PRODUCTOS AGROPECUARIOS S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,BELLO-ANTIOQUIA,C1090 - Elaboración de alimentos preparados para animales,MANUFACTURA,3291588930.0,1510150.0,1569516380.0,1316184740.0,253331640.0,3127104870.0,-2556360.0,1317570520.0,1146093460.0,171477060.0,NIIF PLENAS-GRUPO 1,164484060.0,4066510.0,251945860.0,170091280.0,81854580.0
74,901009478,VIA 40 EXPRESS S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,3055670580.0,-107007410.0,4392718090.0,3976800490.0,415917600.0,1654583500.0,83352630.0,1805960430.0,1283935420.0,522025010.0,NIIF PLENAS-GRUPO 1,1401087080.0,-190360040.0,2586757660.0,2692865070.0,-106107410.0
75,860030808,NALCO DE COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C2029 - Fabricación de otros productos químicos n.c.p.,MANUFACTURA,2300813980.0,101003660.0,1329988710.0,664641090.0,665347620.0,2195671760.0,189059460.0,1141550370.0,545867410.0,595682960.0,NIIF PYMES-GRUPO 2,105142220.0,-88055800.0,188438340.0,118773680.0,69664660.0
77,800173155,PRABYC  INGENIEROS  SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4111 - Construcción de edificios residenciales,CONSTRUCCIÓN,2139557650.0,52662620.0,7326959230.0,5771761240.0,1555197990.0,4717462880.0,291517680.0,5870938020.0,4368487620.0,1502450400.0,NIIF PLENAS-GRUPO 1,-2577905230.0,-238855060.0,1456021210.0,1403273620.0,52747590.0
78,800096040,COMESTIBLES ALDOR SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,"C1082 - Elaboración de cacao, chocolate y productos de confitería",MANUFACTURA,2073597340.0,35689560.0,1951629930.0,1308516540.0,643113390.0,2017300840.0,30308700.0,1781020810.0,1239184880.0,541835930.0,NIIF PLENAS-GRUPO 1,56296500.0,5380860.0,170609120.0,69331660.0,101277460.0
